Date,Description,Debit,Credit
2024-01-05,NETFLIX.COM SUBSCRIPTION,,
2024-01-05,NETFLIX.COM SUBSCRIPTION,199,
2024-01-10,SALARY CREDIT,,50000
2024-01-12,SWIGGY FOOD ORDER,450,
2024-01-15,GOLD'S GYM MEMBERSHIP,1200,
2024-01-18,SPOTIFY PREMIUM,149,
2024-01-20,ELECTRICITY BILL,1850,
2024-01-22,AMAZON SHOPPING,2340,
2024-01-25,PERSONAL LOAN EMI,5500,
2024-02-05,NETFLIX.COM SUBSCRIPTION,199,
2024-02-07,SALARY CREDIT,,50000
2024-02-10,SWIGGY FOOD ORDER,520,
2024-02-15,GOLD'S GYM MEMBERSHIP,1200,
2024-02-18,SPOTIFY PREMIUM,149,
2024-02-20,ELECTRICITY BILL,1920,
2024-02-22,AMAZON SHOPPING,1850,
2024-02-25,PERSONAL LOAN EMI,5500,
2024-03-05,NETFLIX.COM SUBSCRIPTION,199,
2024-03-06,GROCERY SHOPPING,3200,
2024-03-08,SALARY CREDIT,,50000
2024-03-10,DOMINO'S PIZZA,890,
2024-03-15,GOLD'S GYM MEMBERSHIP,1200,
2024-03-18,SPOTIFY PREMIUM,149,
2024-03-20,ELECTRICITY BILL,1780,
2024-03-22,FLIPKART SHOPPING,4500,
2024-03-25,PERSONAL LOAN EMI,5500,
2024-04-05,NETFLIX.COM SUBSCRIPTION,199,
2024-04-08,SALARY CREDIT,,50000
2024-04-10,ZOMATO FOOD,670,
2024-04-15,GOLD'S GYM MEMBERSHIP,1200,
2024-04-18,SPOTIFY PREMIUM,149,
2024-04-20,ELECTRICITY BILL,1690,
2024-04-22,MYNTRA SHOPPING,2100,
2024-04-25,PERSONAL LOAN EMI,5500,
2024-05-05,NETFLIX.COM SUBSCRIPTION,199,
2024-05-08,SALARY CREDIT,,50000
2024-05-12,RESTAURANT BILL,1450,
2024-05-15,GOLD'S GYM MEMBERSHIP,1200,
2024-05-18,SPOTIFY PREMIUM,149,
2024-05-20,ELECTRICITY BILL,1810,
2024-05-25,PERSONAL LOAN EMI,5500,
2024-05-28,AMAZON PRIME ANNUAL,1499,
2024-06-05,NETFLIX.COM SUBSCRIPTION,199,
2024-06-08,SALARY CREDIT,,50000
2024-06-10,GROCERY SHOPPING,2800,
2024-06-15,GOLD'S GYM MEMBERSHIP,1200,
2024-06-18,SPOTIFY PREMIUM,149,
2024-06-20,ELECTRICITY BILL,1950,
2024-06-23,MOBILE RECHARGE,599,
2024-06-25,PERSONAL LOAN EMI,5500,
